time,seconds_elapsed,bpm
1755571119687000000,-4294966.654,139
1755571121175000000,-4294965.166,124
1755571122180000000,-4294964.161,123
1755571123188000000,-4294963.153,123
1755571124195000000,-4294962.146,125
1755571125202000000,-4294961.139000244,126
1755571126209000000,-4294960.132,127
1755571127217000000,-4294959.124,128
1755571128224000000,-4294958.117,128
1755571129231000000,-4294957.11,127
1755571130238000000,-4294956.102999756,128
1755571131245000000,-4294955.096,129
1755571132253000000,-4294954.088,129
1755571133261000000,-4294953.08,129
1755571134268000000,-4294952.073,129
1755571135275000000,-4294951.066,128
1755571136282000000,-4294950.059000244,127
1755571137290000000,-4294949.051000244,127
1755571138297000000,-4294948.044,126
1755571139304000000,-4294947.037,126
1755571140311000000,-4294946.03,125
1755571141318000000,-4294945.022999756,125
1755571142326000000,-4294944.014999756,125
1755571143333000000,-4294943.008,124
1755571144340000000,-4294942.001,125
1755571145347000000,-4294940.994,125
1755571146353000000,-4294939.988,123
1755571147360000000,-4294938.981,122
1755571148367000000,-4294937.974,121
1755571149374000000,-4294936.966999756,120
1755571150381000000,-4294935.96,120
1755571151387000000,-4294934.954,122
1755571152394000000,-4294933.947000244,123
1755571153401000000,-4294932.94,123
1755571154408000000,-4294931.933,123
1755571155415000000,-4294930.926,124
1755571156422000000,-4294929.918999756,126
1755571157429000000,-4294928.912,129
1755571158437000000,-4294927.904,128
1755571159444000000,-4294926.897,129
1755571160451000000,-4294925.89,129
1755571161459000000,-4294924.882,129
1755571162466000000,-4294923.875000244,128
1755571163473000000,-4294922.868,128
1755571164480000000,-4294921.861,127
1755571165488000000,-4294920.853,127
1755571166495000000,-4294919.846,126
1755571167503000000,-4294918.838,128
1755571168510000000,-4294917.830999756,128
1755571169517000000,-4294916.824,127
1755571170525000000,-4294915.816,128
1755571171532000000,-4294914.809,129
1755571172539000000,-4294913.802,130
1755571173547000000,-4294912.794,129
1755571174554000000,-4294911.7870002445,129
1755571175561000000,-4294910.78,130
1755571176568000000,-4294909.773,131
1755571177576000000,-4294908.765,132
1755571178583000000,-4294907.758,133
1755571179591000000,-4294906.75,132
1755571180599000000,-4294905.742,132
1755571181605000000,-4294904.736,133
1755571182613000000,-4294903.728,133
1755571183620000000,-4294902.721,133
1755571184628000000,-4294901.713,135
1755571185635000000,-4294900.706,134
1755571186643000000,-4294899.698,134
1755571187650000000,-4294898.691000245,135
1755571188658000000,-4294897.683000244,136
1755571189665000000,-4294896.676,137
1755571190673000000,-4294895.668,139
1755571191681000000,-4294894.66,140
1755571192688000000,-4294893.653,141
1755571193695000000,-4294892.646,143
1755571194703000000,-4294891.638,144
1755571195710000000,-4294890.630999756,147
1755571196717000000,-4294889.624,146
1755571197725000000,-4294888.616,145
1755571198732000000,-4294887.609,147
1755571199739000000,-4294886.602,146
1755571200746000000,-4294885.595000244,148
1755571201754000000,-4294884.587000244,149
1755571202762000000,-4294883.579000244,0
1755571203769000000,-4294882.572,150
1755571204777000000,-4294881.564,149
1755571205784000000,-4294880.557,147
1755571206791000000,-4294879.55,147
1755571207799000000,-4294878.542,147
1755571208806000000,-4294877.534999756,146
1755571209813000000,-4294876.528,148
